Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Freddie Freeman,33,1,Maj-NL,"Mar 31, 2023",Los Angeles,,Arizona,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518692
Avisa\xc3\xadl Garc\xc3\xada,32,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,541645
Andr\xc3\xa9s Gim\xc3\xa9nez,24,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,5,4,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.6,0.5,1.1,665926
Oscar Gonzalez,25,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,660757
Yasmani Grandal,34,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,518735
Trent Grisham,26,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,663757
Luis Guillorme,28,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,641645
Lourdes Gurriel Jr.,29,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,666971
Yuli Gurriel,39,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,493329
David Hensley,27,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0.667,0.75,0.667,1.417,682073
Teoscar Hern\xc3\xa1ndez,30,1,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,606192
Cooper Hummel,28,1,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,4,3,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0.0,0.25,0.0,0.25,669450
