,player_id,name,status,position_type,eligible_positions,selected_position
1,12449,Vinnie Pasquantino,,B,"['1B', 'Util']",1B
2,11125,Brandon Lowe,,B,"['2B', 'Util']",2B
3,9105,Nolan Arenado,,B,"['3B', 'Util']",3B
4,10639,Fernando Tatis Jr.,SUSP,B,"['SS', 'Util']",SS
5,10666,Anthony Santander,,B,"['LF', 'RF', 'Util']",LF
6,12212,Lars Nootbaar,,B,"['LF', 'CF', 'RF', 'Util']",CF
7,10626,Juan Soto,DTD,B,"['RF', 'Util']",RF
8,11768,Jeremy Peña,,B,"['SS', 'Util']",Util
9,11370,Oneil Cruz,,B,"['SS', 'Util']",BN
10,11398,Shane McClanahan,,P,['SP'],SP
11,8180,Clayton Kershaw,,P,['SP'],SP
12,10597,Sandy Alcantara,,P,['SP'],SP
13,11854,Alek Manoah,,P,['SP'],SP
14,11847,Joe Ryan,,P,['SP'],SP
15,10569,Clay Holmes,,P,['RP'],RP
16,10336,José Leclerc,,P,['RP'],RP
17,11009,Jason Adam,,P,['RP'],RP
18,10882,Gregory Soto,,P,['RP'],RP
19,9783,Trevor May,,P,['RP'],BN
20,10152,Reynaldo López,,P,['RP'],BN
21,8918,Alex Cobb,DTD,P,['SP'],BN
22,11608,José Urquidy,,P,['SP'],BN
0,10456,Tyler Stephenson,,B,"['C', 'Util']",C
1,10621,Vladimir Guerrero Jr.,,B,"['1B', 'Util']",1B
2,10237,Ozzie Albies,,B,"['2B', 'Util']",2B
3,11496,Jose Miranda,,B,"['1B', '3B', 'Util']",3B
4,9584,Corey Seager,,B,"['SS', 'Util']",SS
5,11722,Corbin Carroll,,B,"['LF', 'Util']",LF
6,11384,Julio Rodríguez,,B,"['CF', 'Util']",CF
7,12314,Steven Kwan,,B,"['LF', 'RF', 'Util']",RF
8,1000001,Shohei Ohtani (Batter),,B,['Util'],Util
9,12056,Michael Harris II,,B,"['CF', 'Util']",BN
10,11365,Alec Bohm,,B,"['1B', '3B', 'Util']",BN
11,12621,Oscar Gonzalez,,B,"['RF', 'Util']",BN
12,10036,Ketel Marte,,B,"['2B', 'Util']",BN
13,9561,Jesse Winker,,B,"['LF', 'Util']",BN
14,11116,Zac Gallen,,P,['SP'],SP
15,10970,Nestor Cortes,,P,['SP'],SP
16,8650,Lance Lynn,,P,['SP'],SP
17,10627,Jesús Luzardo,,P,['SP'],SP
18,12776,Kodai Senga,,P,['SP'],SP
19,11121,Jeffrey Springs,,P,"['SP', 'RP']",RP
20,10054,Scott McGough,,P,['RP'],RP
21,9057,Liam Hendriks,DTD,P,['RP'],RP
22,9459,Sonny Gray,,P,['SP'],BN
